conversation_id,item,human_score,classifier_score
coaching_6879,feedback,3,2
coaching_6905,feedback,0,3
coaching_7291,feedback,3,2
coaching_7588,feedback,3,2
coaching_8296,feedback,6,2
coaching_8521,feedback,4,2
coaching_9,feedback,4,2
coaching_9244,feedback,1,2
coaching_9804,feedback,0,2
gptchats_12568,feedback,5,2
gptchats_13113,feedback,0,2
gptchats_14663,feedback,4,2
gptchats_15316,feedback,0,2
gptchats_16299,feedback,3,2
gptchats_1639,feedback,2,0
gptchats_17476,feedback,0,2
gptchats_20901,feedback,0,2
gptchats_22140,feedback,4,2
gptchats_22310,feedback,4,2
gptchats_24281,feedback,3,1
gptchats_27259,feedback,0,2
gptchats_27586,feedback,0,2
gptchats_27983,feedback,4,2
gptchats_28009,feedback,4,2
gptchats_28340,feedback,2,0
gptchats_2867,feedback,0,2
gptchats_29760,feedback,3,1
gptchats_30255,feedback,3,2
gptchats_30732,feedback,2,2
gptchats_35588,feedback,5,0
gptchats_36795,feedback,3,0
gptchats_3847,feedback,2,2
gptchats_4378,feedback,0,0
gptchats_45951,feedback,2,2
gptchats_48626,feedback,4,0
gptchats_48713,feedback,3,2
gptchats_49728,feedback,0,2
gptchats_51176,feedback,0,0
gptchats_52983,feedback,3,2
gptchats_5925,feedback,0,0
gptchats_60674,feedback,0,2
gptchats_60862,feedback,0,2
gptchats_61082,feedback,0,0
gptchats_65190,feedback,0,0
gptchats_66708,feedback,0,2
gptchats_67331,feedback,2,2
gptchats_67808,feedback,2,0
gptchats_68183,feedback,0,0
gptchats_72125,feedback,1,2
gptchats_7442,feedback,0,1
gptchats_75011,feedback,2,2
gptchats_75922,feedback,4,2
gptchats_778,feedback,2,2
gptchats_7896,feedback,0,0
gptchats_9583,feedback,0,2
coaching_10082,understanding,3,3
coaching_11206,understanding,2,3
coaching_11341,understanding,2,3
coaching_12437,understanding,4,3
coaching_12461,understanding,2,3
coaching_12599,understanding,4,3
coaching_12602,understanding,4,4
coaching_12753,understanding,2,3
coaching_13006,understanding,5,4
coaching_13413,understanding,4,3
coaching_13540,understanding,2,4
coaching_13813,understanding,4,3
coaching_14053,understanding,3,3
coaching_14068,understanding,4,3
coaching_14251,understanding,3,3
coaching_14575,understanding,1,3
coaching_14964,understanding,2,3
coaching_14967,understanding,5,3
coaching_15558,understanding,3,3
coaching_15775,understanding,0,4
coaching_15808,understanding,5,3
coaching_15881,understanding,2,3
coaching_16203,understanding,2,4
coaching_16442,understanding,4,4
coaching_16555,understanding,4,3
coaching_16595,understanding,2,3
coaching_16615,understanding,5,3
coaching_16649,understanding,4,4
coaching_16754,understanding,2,3
coaching_16834,understanding,0,3
coaching_16948,understanding,2,3
coaching_17692,understanding,2,3
coaching_17728,understanding,4,3
coaching_1810,understanding,3,3
coaching_18105,understanding,2,3
coaching_182,understanding,4,3
coaching_18233,understanding,2,4
coaching_18320,understanding,4,4
coaching_18764,understanding,2,3
coaching_18970,understanding,3,3
coaching_19019,understanding,3,3
coaching_19351,understanding,4,3
coaching_19681,understanding,1,3
coaching_20504,understanding,5,4
coaching_20991,understanding,4,3
coaching_21142,understanding,0,3
coaching_21609,understanding,3,3
coaching_22319,understanding,4,3
coaching_22352,understanding,4,3
coaching_22357,understanding,0,3
coaching_22426,understanding,2,3
coaching_2479,understanding,4,3
coaching_2762,understanding,4,3
coaching_2815,understanding,2,3
coaching_2914,understanding,3,3
coaching_2975,understanding,2,3
coaching_2985,understanding,4,3
coaching_3077,understanding,6,3
coaching_3591,understanding,2,3
coaching_3724,understanding,4,3
coaching_4206,understanding,0,3
coaching_4422,understanding,0,3
coaching_4640,understanding,6,4
coaching_4743,understanding,2,3
coaching_5702,understanding,3,4
coaching_6016,understanding,3,3
coaching_6056,understanding,2,3
coaching_6296,understanding,4,3
coaching_6315,understanding,4,4
coaching_65,understanding,4,3
coaching_6562,understanding,2,3
coaching_6602,understanding,2,4
coaching_6878,understanding,2,3
coaching_6879,understanding,3,3
coaching_6905,understanding,0,4
coaching_7291,understanding,4,4
coaching_7588,understanding,2,4
coaching_8296,understanding,5,3
coaching_8521,understanding,4,3
coaching_9,understanding,6,3
coaching_9244,understanding,2,3
coaching_9804,understanding,2,3
gptchats_12568,understanding,6,3
gptchats_13113,understanding,4,3
gptchats_14663,understanding,6,3
gptchats_15316,understanding,2,3
gptchats_16299,understanding,4,3
gptchats_1639,understanding,2,2
gptchats_17476,understanding,2,2
gptchats_20901,understanding,2,3
gptchats_22140,understanding,4,3
gptchats_22310,understanding,5,3
gptchats_24281,understanding,4,3
gptchats_27259,understanding,2,3
gptchats_27586,understanding,2,3
gptchats_27983,understanding,4,3
gptchats_28009,understanding,4,3
gptchats_28340,understanding,4,3
gptchats_2867,understanding,6,3
gptchats_29760,understanding,3,2
gptchats_30255,understanding,5,3
gptchats_30732,understanding,4,3
gptchats_35588,understanding,5,3
gptchats_36795,understanding,4,3
gptchats_3847,understanding,2,3
gptchats_4378,understanding,6,3
gptchats_45951,understanding,3,3
gptchats_48626,understanding,4,3
gptchats_48713,understanding,3,3
gptchats_49728,understanding,5,3
gptchats_51176,understanding,4,2
gptchats_52983,understanding,3,3
gptchats_5925,understanding,0,2
gptchats_60674,understanding,4,3
gptchats_60862,understanding,4,3
gptchats_61082,understanding,4,3
gptchats_65190,understanding,0,2
gptchats_66708,understanding,0,3
gptchats_67331,understanding,1,3
gptchats_67808,understanding,1,2
gptchats_68183,understanding,2,2
gptchats_72125,understanding,0,3
gptchats_7442,understanding,2,2
gptchats_75011,understanding,6,3
gptchats_75922,understanding,4,2
gptchats_778,understanding,3,3
gptchats_7896,understanding,4,2
gptchats_9583,understanding,0,3
coaching_10082,interpersonal,3,3
coaching_11206,interpersonal,2,3
coaching_11341,interpersonal,2,3
coaching_12437,interpersonal,4,3
coaching_12461,interpersonal,2,3
coaching_12599,interpersonal,4,3
coaching_12602,interpersonal,4,4
coaching_12753,interpersonal,2,3
coaching_13006,interpersonal,5,4
coaching_13413,interpersonal,2,3
coaching_13540,interpersonal,2,4
coaching_13813,interpersonal,5,3
coaching_14053,interpersonal,3,3
coaching_14068,interpersonal,4,3
coaching_14251,interpersonal,4,3
coaching_14575,interpersonal,2,3
coaching_14964,interpersonal,2,3
coaching_14967,interpersonal,5,3
coaching_15558,interpersonal,4,3
coaching_15775,interpersonal,0,4
coaching_15808,interpersonal,5,3
coaching_15881,interpersonal,2,3
coaching_16203,interpersonal,1,4
coaching_16442,interpersonal,6,3
coaching_16555,interpersonal,5,3
coaching_16595,interpersonal,2,3
coaching_16615,interpersonal,4,3
coaching_16649,interpersonal,4,3
coaching_16754,interpersonal,2,3
coaching_16834,interpersonal,2,3
coaching_16948,interpersonal,2,3
coaching_17692,interpersonal,2,3
coaching_17728,interpersonal,4,3
coaching_1810,interpersonal,4,3
coaching_18105,interpersonal,2,3
coaching_182,interpersonal,4,3
coaching_18233,interpersonal,2,4
coaching_18320,interpersonal,4,3
coaching_18764,interpersonal,2,3
coaching_18970,interpersonal,4,3
coaching_19019,interpersonal,4,3
coaching_19351,interpersonal,4,3
coaching_19681,interpersonal,1,3
coaching_20504,interpersonal,4,4
coaching_20991,interpersonal,4,3
coaching_21142,interpersonal,2,3
coaching_21609,interpersonal,3,3
coaching_22319,interpersonal,5,3
coaching_22352,interpersonal,4,3
coaching_22357,interpersonal,2,3
coaching_22426,interpersonal,4,3
coaching_2479,interpersonal,2,3
coaching_2762,interpersonal,4,3
coaching_2815,interpersonal,2,3
coaching_2914,interpersonal,4,3
coaching_2975,interpersonal,2,3
coaching_2985,interpersonal,2,3
coaching_3077,interpersonal,4,3
coaching_3591,interpersonal,3,3
coaching_3724,interpersonal,2,3
coaching_4206,interpersonal,2,3
coaching_4422,interpersonal,0,3
coaching_4640,interpersonal,6,4
coaching_4743,interpersonal,2,3
coaching_5702,interpersonal,3,4
coaching_6016,interpersonal,3,3
coaching_6056,interpersonal,2,3
coaching_6296,interpersonal,4,3
coaching_6315,interpersonal,4,4
coaching_65,interpersonal,3,3
coaching_6562,interpersonal,2,3
coaching_6602,interpersonal,2,4
coaching_6878,interpersonal,2,3
coaching_6879,interpersonal,3,3
coaching_6905,interpersonal,2,4
coaching_7291,interpersonal,4,4
coaching_7588,interpersonal,2,4
coaching_8296,interpersonal,6,3
coaching_8521,interpersonal,5,3
coaching_9,interpersonal,5,3
coaching_9244,interpersonal,2,3
coaching_9804,interpersonal,2,3
gptchats_12568,interpersonal,5,2
gptchats_13113,interpersonal,2,2
gptchats_14663,interpersonal,6,3
gptchats_15316,interpersonal,2,2
gptchats_16299,interpersonal,4,3
gptchats_1639,interpersonal,3,2
gptchats_17476,interpersonal,2,2
gptchats_20901,interpersonal,2,2
gptchats_22140,interpersonal,5,3
gptchats_22310,interpersonal,5,3
gptchats_24281,interpersonal,4,3
gptchats_27259,interpersonal,2,3
gptchats_27586,interpersonal,2,3
gptchats_27983,interpersonal,4,3
gptchats_28009,interpersonal,4,2
gptchats_28340,interpersonal,5,3
gptchats_2867,interpersonal,6,2
gptchats_29760,interpersonal,3,2
gptchats_30255,interpersonal,4,3
gptchats_30732,interpersonal,4,2
gptchats_35588,interpersonal,5,3
gptchats_36795,interpersonal,3,3
gptchats_3847,interpersonal,3,3
gptchats_4378,interpersonal,6,3
gptchats_45951,interpersonal,3,3
gptchats_48626,interpersonal,5,3
gptchats_48713,interpersonal,4,3
gptchats_49728,interpersonal,6,3
gptchats_51176,interpersonal,4,3
gptchats_52983,interpersonal,4,3
gptchats_5925,interpersonal,2,2
gptchats_60674,interpersonal,4,3
gptchats_60862,interpersonal,4,3
gptchats_61082,interpersonal,2,3
gptchats_65190,interpersonal,2,3
gptchats_66708,interpersonal,2,3
gptchats_67331,interpersonal,2,3
gptchats_67808,interpersonal,3,3
gptchats_68183,interpersonal,2,3
gptchats_72125,interpersonal,2,3
gptchats_7442,interpersonal,2,2
gptchats_75011,interpersonal,4,3
gptchats_75922,interpersonal,5,2
gptchats_778,interpersonal,4,2
gptchats_7896,interpersonal,2,2
gptchats_9583,interpersonal,0,2
coaching_10082,collaboration,3,3
coaching_11206,collaboration,4,3
coaching_11341,collaboration,2,3
coaching_12437,collaboration,3,3
coaching_12461,collaboration,2,2
coaching_12599,collaboration,2,3
coaching_12602,collaboration,4,4
coaching_12753,collaboration,4,3
coaching_13006,collaboration,6,3
coaching_13413,collaboration,4,3
coaching_13540,collaboration,4,3
coaching_13813,collaboration,5,3
coaching_14053,collaboration,3,2
coaching_14068,collaboration,3,2
coaching_14251,collaboration,3,3
coaching_14575,collaboration,1,3
coaching_14964,collaboration,4,3
coaching_14967,collaboration,4,3
coaching_15558,collaboration,2,3
coaching_15775,collaboration,1,4
coaching_15808,collaboration,6,3
coaching_15881,collaboration,2,2
coaching_16203,collaboration,1,3
coaching_16442,collaboration,5,3
coaching_16555,collaboration,5,3
coaching_16595,collaboration,4,2
coaching_16615,collaboration,4,2
coaching_16649,collaboration,5,3
coaching_16754,collaboration,2,3
coaching_16834,collaboration,0,2
coaching_16948,collaboration,2,2
coaching_17692,collaboration,1,2
coaching_17728,collaboration,3,3
coaching_1810,collaboration,2,3
coaching_18105,collaboration,4,3
coaching_182,collaboration,4,3
coaching_18233,collaboration,4,3
coaching_18320,collaboration,4,3
coaching_18764,collaboration,4,3
coaching_18970,collaboration,4,3
coaching_19019,collaboration,2,3
coaching_19351,collaboration,3,3
coaching_19681,collaboration,2,3
coaching_20504,collaboration,4,4
coaching_20991,collaboration,4,3
coaching_21142,collaboration,1,3
coaching_21609,collaboration,3,2
coaching_22319,collaboration,4,2
coaching_22352,collaboration,2,2
coaching_22357,collaboration,2,2
coaching_22426,collaboration,0,2
coaching_2479,collaboration,4,3
coaching_2762,collaboration,3,3
coaching_2815,collaboration,4,3
coaching_2914,collaboration,2,3
coaching_2975,collaboration,2,3
coaching_2985,collaboration,0,3
coaching_3077,collaboration,6,3
coaching_3591,collaboration,3,3
coaching_3724,collaboration,2,3
coaching_4206,collaboration,1,3
coaching_4422,collaboration,1,3
coaching_4640,collaboration,6,3
coaching_4743,collaboration,4,3
coaching_5702,collaboration,4,4
coaching_6016,collaboration,4,3
coaching_6056,collaboration,2,3
coaching_6296,collaboration,3,3
coaching_6315,collaboration,4,3
coaching_65,collaboration,4,3
coaching_6562,collaboration,2,3
coaching_6602,collaboration,4,3
coaching_6878,collaboration,2,3
coaching_6879,collaboration,2,3
coaching_6905,collaboration,2,3
coaching_7291,collaboration,3,3
coaching_7588,collaboration,2,3
coaching_8296,collaboration,5,3
coaching_8521,collaboration,3,2
coaching_9,collaboration,5,3
coaching_9244,collaboration,2,2
coaching_9804,collaboration,4,3
gptchats_12568,collaboration,5,2
gptchats_13113,collaboration,4,2
gptchats_14663,collaboration,5,2
gptchats_15316,collaboration,2,2
gptchats_16299,collaboration,2,2
gptchats_1639,collaboration,2,2
gptchats_17476,collaboration,2,2
gptchats_20901,collaboration,2,2
gptchats_22140,collaboration,4,3
gptchats_22310,collaboration,4,2
gptchats_24281,collaboration,4,2
gptchats_27259,collaboration,0,2
gptchats_27586,collaboration,4,3
gptchats_27983,collaboration,4,2
gptchats_28009,collaboration,2,2
gptchats_28340,collaboration,4,2
gptchats_2867,collaboration,4,2
gptchats_29760,collaboration,4,2
gptchats_30255,collaboration,4,2
gptchats_30732,collaboration,4,2
gptchats_35588,collaboration,5,2
gptchats_36795,collaboration,3,2
gptchats_3847,collaboration,2,3
gptchats_4378,collaboration,4,2
gptchats_45951,collaboration,2,2
gptchats_48626,collaboration,3,2
gptchats_48713,collaboration,3,2
gptchats_49728,collaboration,4,2
gptchats_51176,collaboration,2,2
gptchats_52983,collaboration,2,2
gptchats_5925,collaboration,1,2
gptchats_60674,collaboration,4,2
gptchats_60862,collaboration,4,2
gptchats_61082,collaboration,2,2
gptchats_65190,collaboration,2,2
gptchats_66708,collaboration,2,3
gptchats_67331,collaboration,2,2
gptchats_67808,collaboration,2,2
gptchats_68183,collaboration,2,2
gptchats_72125,collaboration,1,2
gptchats_7442,collaboration,2,2
gptchats_75011,collaboration,3,2
gptchats_75922,collaboration,2,2
gptchats_778,collaboration,2,2
gptchats_7896,collaboration,2,2
gptchats_9583,collaboration,1,2
coaching_10082,pacing,2,3
coaching_11206,pacing,2,3
coaching_11341,pacing,2,3
coaching_12437,pacing,4,3
coaching_12461,pacing,0,2
coaching_12599,pacing,2,3
coaching_12602,pacing,3,4
coaching_12753,pacing,0,3
coaching_13006,pacing,5,3
coaching_13413,pacing,4,3
coaching_13540,pacing,2,3
coaching_13813,pacing,4,3
coaching_14053,pacing,4,3
coaching_14068,pacing,2,2
coaching_14251,pacing,0,3
coaching_14575,pacing,1,3
coaching_14964,pacing,2,3
coaching_14967,pacing,3,3
coaching_15558,pacing,4,3
coaching_15775,pacing,4,4
coaching_15808,pacing,5,3
coaching_15881,pacing,0,2
coaching_16203,pacing,1,3
coaching_16442,pacing,6,3
coaching_16555,pacing,5,3
coaching_16595,pacing,2,3
coaching_16615,pacing,4,3
coaching_16649,pacing,4,3
coaching_16754,pacing,2,3
coaching_16834,pacing,2,3
coaching_16948,pacing,2,3
coaching_17692,pacing,2,3
coaching_17728,pacing,2,3
coaching_1810,pacing,2,3
coaching_18105,pacing,4,3
coaching_182,pacing,3,3
coaching_18233,pacing,2,3
coaching_18320,pacing,4,3
coaching_18764,pacing,2,3
coaching_18970,pacing,3,3
coaching_19019,pacing,2,3
coaching_19351,pacing,4,3
coaching_19681,pacing,0,3
coaching_20504,pacing,2,4
coaching_20991,pacing,4,3
coaching_21142,pacing,0,3
coaching_21609,pacing,3,2
coaching_22319,pacing,5,3
coaching_22352,pacing,2,3
coaching_22357,pacing,1,3
coaching_22426,pacing,0,3
coaching_2479,pacing,4,3
coaching_2762,pacing,3,3
coaching_2815,pacing,2,2
coaching_2914,pacing,2,3
coaching_2975,pacing,2,3
coaching_2985,pacing,2,3
coaching_3077,pacing,3,3
coaching_3591,pacing,2,3
coaching_3724,pacing,2,3
coaching_4206,pacing,0,3
coaching_4422,pacing,0,3
coaching_4640,pacing,6,3
coaching_4743,pacing,2,3
coaching_5702,pacing,2,4
coaching_6016,pacing,4,3
coaching_6056,pacing,2,3
coaching_6296,pacing,2,3
coaching_6315,pacing,4,3
coaching_65,pacing,2,3
coaching_6562,pacing,2,3
coaching_6602,pacing,4,3
coaching_6878,pacing,1,3
coaching_6879,pacing,2,3
coaching_6905,pacing,2,3
coaching_7291,pacing,2,3
coaching_7588,pacing,2,3
coaching_8296,pacing,6,3
coaching_8521,pacing,2,2
coaching_9,pacing,3,3
coaching_9244,pacing,1,3
coaching_9804,pacing,4,3
gptchats_12568,pacing,5,2
gptchats_13113,pacing,2,2
gptchats_14663,pacing,2,2
gptchats_15316,pacing,2,2
gptchats_16299,pacing,3,2
gptchats_1639,pacing,2,2
gptchats_17476,pacing,2,2
gptchats_20901,pacing,2,2
gptchats_22140,pacing,4,3
gptchats_22310,pacing,4,2
gptchats_24281,pacing,3,2
gptchats_27259,pacing,0,2
gptchats_27586,pacing,2,2
gptchats_27983,pacing,4,3
gptchats_28009,pacing,2,2
gptchats_28340,pacing,2,2
gptchats_2867,pacing,4,2
gptchats_29760,pacing,2,2
gptchats_30255,pacing,4,2
gptchats_30732,pacing,4,2
gptchats_35588,pacing,4,2
gptchats_36795,pacing,0,2
gptchats_3847,pacing,0,2
gptchats_4378,pacing,4,2
gptchats_45951,pacing,1,3
gptchats_48626,pacing,2,2
gptchats_48713,pacing,2,3
gptchats_49728,pacing,0,2
gptchats_51176,pacing,1,2
gptchats_52983,pacing,1,2
gptchats_5925,pacing,0,2
gptchats_60674,pacing,2,2
gptchats_60862,pacing,0,3
gptchats_61082,pacing,2,2
gptchats_65190,pacing,0,2
gptchats_66708,pacing,0,3
gptchats_67331,pacing,0,2
gptchats_67808,pacing,1,2
gptchats_68183,pacing,0,2
gptchats_72125,pacing,0,2
gptchats_7442,pacing,2,2
gptchats_75011,pacing,2,3
gptchats_75922,pacing,3,2
gptchats_778,pacing,3,2
gptchats_7896,pacing,0,2
gptchats_9583,pacing,0,2
coaching_10082,discovery,3,3
coaching_11206,discovery,2,3
coaching_11341,discovery,2,3
coaching_12437,discovery,3,3
coaching_12461,discovery,2,2
coaching_12599,discovery,2,3
coaching_12602,discovery,4,4
coaching_12753,discovery,2,3
coaching_13006,discovery,5,3
coaching_13413,discovery,4,3
coaching_13540,discovery,4,3
coaching_13813,discovery,5,3
coaching_14053,discovery,2,2
coaching_14068,discovery,3,2
coaching_14251,discovery,3,3
coaching_14575,discovery,2,3
coaching_14964,discovery,2,3
coaching_14967,discovery,3,3
coaching_15558,discovery,4,3
coaching_15775,discovery,2,4
coaching_15808,discovery,5,3
coaching_15881,discovery,2,2
coaching_16203,discovery,2,3
coaching_16442,discovery,4,3
coaching_16555,discovery,5,3
coaching_16595,discovery,2,2
coaching_16615,discovery,4,2
coaching_16649,discovery,4,3
coaching_16754,discovery,4,3
coaching_16834,discovery,2,2
coaching_16948,discovery,2,2
coaching_17692,discovery,2,2
coaching_17728,discovery,3,3
coaching_1810,discovery,2,3
coaching_18105,discovery,4,3
coaching_182,discovery,2,3
coaching_18233,discovery,4,3
coaching_18320,discovery,4,3
coaching_18764,discovery,4,3
coaching_18970,discovery,3,2
coaching_19019,discovery,3,3
coaching_19351,discovery,3,3
coaching_19681,discovery,1,2
coaching_20504,discovery,2,3
coaching_20991,discovery,4,2
coaching_21142,discovery,0,2
coaching_21609,discovery,2,2
coaching_22319,discovery,5,2
coaching_22352,discovery,2,2
coaching_22357,discovery,1,2
coaching_22426,discovery,3,2
coaching_2479,discovery,2,3
coaching_2762,discovery,3,3
coaching_2815,discovery,2,2
coaching_2914,discovery,3,3
coaching_2975,discovery,2,2
coaching_2985,discovery,2,3
coaching_3077,discovery,4,3
coaching_3591,discovery,3,3
coaching_3724,discovery,2,3
coaching_4206,discovery,1,2
coaching_4422,discovery,2,3
coaching_4640,discovery,6,3
coaching_4743,discovery,2,3
coaching_5702,discovery,2,4
coaching_6016,discovery,2,2
coaching_6056,discovery,2,3
coaching_6296,discovery,3,3
coaching_6315,discovery,4,3
coaching_65,discovery,3,3
coaching_6562,discovery,4,3
coaching_6602,discovery,4,3
coaching_6878,discovery,2,3
coaching_6879,discovery,2,3
coaching_6905,discovery,2,3
coaching_7291,discovery,3,3
coaching_7588,discovery,2,3
coaching_8296,discovery,5,3
coaching_8521,discovery,3,2
coaching_9,discovery,5,3
coaching_9244,discovery,1,2
coaching_9804,discovery,4,3
gptchats_12568,discovery,5,2
gptchats_13113,discovery,2,2
gptchats_14663,discovery,4,2
gptchats_15316,discovery,2,2
gptchats_16299,discovery,3,2
gptchats_1639,discovery,1,2
gptchats_17476,discovery,2,2
gptchats_20901,discovery,2,2
gptchats_22140,discovery,3,2
gptchats_22310,discovery,4,2
gptchats_24281,discovery,2,2
gptchats_27259,discovery,0,2
gptchats_27586,discovery,2,2
gptchats_27983,discovery,3,2
gptchats_28009,discovery,3,2
gptchats_28340,discovery,3,2
gptchats_2867,discovery,3,2
gptchats_29760,discovery,2,2
gptchats_30255,discovery,1,2
gptchats_30732,discovery,2,2
gptchats_35588,discovery,5,2
gptchats_36795,discovery,2,2
gptchats_3847,discovery,1,2
gptchats_4378,discovery,4,2
gptchats_45951,discovery,2,2
gptchats_48626,discovery,3,2
gptchats_48713,discovery,3,2
gptchats_49728,discovery,2,2
gptchats_51176,discovery,2,2
gptchats_52983,discovery,2,2
gptchats_5925,discovery,0,2
gptchats_60674,discovery,2,2
gptchats_60862,discovery,2,2
gptchats_61082,discovery,4,2
gptchats_65190,discovery,0,2
gptchats_66708,discovery,1,2
