ctrs_agenda,ctrs_feedback,ctrs_understanding,ctrs_interpersonal,ctrs_collaboration,ctrs_pacing,ctrs_discovery,ctrs_focus,ctrs_strategy,ctrs_technique,ctrs_homework,conversation_id,ctrs_overall,pid
2,2,3,3,2,2,2,2,2,2,0,gptchats_41161,2.0,80235009
0,0,1,1,0,0,0,0,0,0,0,gptchats_21695,0.1818181818181818,80290630
2,2,3,3,2,2,2,2,2,2,0,gptchats_48623,2.0,80277667
2,2,3,3,2,2,2,2,2,2,0,gptchats_11756,2.0,80241105
2,2,3,3,2,2,2,2,2,2,0,gptchats_58430,2.0,80343464
2,2,3,3,2,3,2,2,2,2,0,gptchats_31486,2.090909090909091,80334716
2,2,3,2,2,2,2,2,2,2,0,gptchats_15530,1.9090909090909092,80252577
2,0,3,3,2,3,2,2,2,2,0,gptchats_53565,1.9090909090909092,80339071
2,2,3,3,3,3,2,2,2,2,0,coaching_6797,2.1818181818181817,80329104
2,2,3,3,2,3,2,2,2,2,0,gptchats_32831,2.090909090909091,80322920
2,2,3,3,2,2,2,2,2,2,0,gptchats_15256,2.0,80253804
2,2,3,3,2,3,2,2,2,2,0,coaching_21984,2.090909090909091,9952311
2,2,3,3,2,3,2,2,2,2,0,gptchats_58356,2.090909090909091,80295919
2,2,3,3,2,2,2,2,2,2,0,gptchats_40519,2.0,80234852
2,2,3,3,2,2,2,2,2,2,0,gptchats_28869,2.0,80331768
0,0,2,2,0,0,0,0,0,0,0,gptchats_51414,0.3636363636363636,80338240
2,2,2,2,2,2,2,2,2,2,0,coaching_15412,1.818181818181818,80339033
2,2,3,3,2,2,2,2,2,2,0,gptchats_18799,2.0,80259506
2,2,3,2,2,2,2,2,2,2,0,gptchats_27569,1.9090909090909092,80326143
2,2,3,3,2,3,2,2,2,2,0,gptchats_56390,2.090909090909091,80340992
2,2,3,2,2,2,2,2,2,2,2,coaching_10310,2.090909090909091,80333095
2,2,3,3,3,3,2,2,2,2,2,gptchats_29544,2.363636363636364,80333187
2,2,4,4,3,3,2,2,2,2,0,gptchats_60622,2.363636363636364,9932659
1,1,2,2,1,1,0,1,1,0,0,gptchats_18941,0.9090909090909092,80241274
2,2,3,3,2,2,2,2,2,2,0,gptchats_70431,2.0,80333927
2,2,3,3,2,2,2,2,2,2,0,gptchats_13814,2.0,80239820
2,0,3,3,2,3,2,2,0,0,0,gptchats_55841,1.5454545454545454,80339743
2,2,3,3,3,2,2,2,2,2,0,coaching_7304,2.090909090909091,80332853
2,0,2,2,2,2,2,2,2,2,0,gptchats_9610,1.6363636363636365,80239321
2,2,3,3,2,2,2,2,2,2,2,gptchats_74657,2.1818181818181817,99112716
2,2,3,3,2,2,2,2,2,2,0,gptchats_24060,2.0,80239658
0,0,2,2,0,1,0,0,0,0,0,gptchats_34515,0.4545454545454545,80253604
2,2,3,3,2,2,2,2,2,2,0,gptchats_62753,2.0,80337958
2,2,3,3,2,2,2,2,2,2,0,gptchats_2023,2.0,80228042
2,2,3,3,2,2,2,2,2,2,0,gptchats_70357,2.0,5089244
2,2,3,3,2,2,2,2,2,2,0,gptchats_40294,2.0,80336559
0,0,2,2,1,1,0,0,0,0,0,gptchats_30773,0.5454545454545454,80334038
2,0,2,2,2,2,2,2,2,2,0,gptchats_20560,1.6363636363636365,80245964
2,2,3,3,2,2,2,2,2,2,0,gptchats_5994,2.0,80234065
2,2,3,3,2,2,2,2,2,2,0,gptchats_40280,2.0,80333530
2,2,3,3,2,2,2,2,2,2,0,gptchats_5758,2.0,80232908
2,2,3,3,2,2,2,2,2,2,0,gptchats_60150,2.0,80261080
2,2,4,4,3,3,2,2,2,2,0,gptchats_28128,2.363636363636364,80245777
2,0,3,3,2,2,2,2,2,2,0,gptchats_4446,1.818181818181818,80231205
2,2,3,3,2,2,2,2,2,2,0,gptchats_30767,2.0,80325227
2,2,4,4,3,3,2,2,2,2,0,gptchats_69612,2.363636363636364,5006452
2,2,3,3,2,2,2,2,2,2,0,gptchats_73892,2.0,99188885
2,2,3,3,2,2,2,2,2,2,0,gptchats_22363,2.0,80297483
2,0,3,3,2,3,2,2,2,2,0,coaching_18122,1.9090909090909092,10343054
2,2,3,3,3,2,2,2,2,2,0,gptchats_22405,2.090909090909091,80229122
2,2,3,3,2,2,2,2,2,2,0,gptchats_44958,2.0,80339049
0,0,2,2,0,0,0,0,0,0,0,gptchats_69174,0.3636363636363636,9956023
2,2,3,3,3,3,2,2,2,2,0,gptchats_16978,2.1818181818181817,80228855
2,2,3,3,2,2,2,2,2,2,0,gptchats_4320,2.0,80231482
2,2,3,3,3,3,3,3,3,3,0,coaching_5507,2.5454545454545454,80225700
2,2,3,3,2,2,2,2,2,2,0,gptchats_18955,2.0,80262012
2,2,3,3,2,3,2,2,2,2,2,gptchats_60636,2.272727272727273,80346275
2,2,3,3,2,2,2,2,2,2,0,gptchats_933,2.0,80225644
2,0,2,2,2,2,0,2,0,0,0,gptchats_28896,1.0909090909090908,80331804
2,0,3,3,2,2,0,0,0,0,0,gptchats_70425,1.0909090909090908,40364389
0,0,2,2,2,2,0,0,0,0,0,gptchats_2751,0.7272727272727273,80229047
2,2,3,3,2,2,2,2,2,2,0,gptchats_15281,2.0,80253791
2,2,3,3,3,2,2,2,2,2,0,gptchats_13828,2.090909090909091,80238393
2,2,3,3,2,2,2,2,2,2,0,gptchats_73104,2.0,20367998
4,4,5,5,4,4,4,4,4,4,4,coaching_21953,4.181818181818182,20303686
2,0,3,3,2,3,2,2,1,1,0,gptchats_75575,1.7272727272727273,99369410
2,2,3,3,2,2,2,2,2,2,0,gptchats_7601,2.0,80235521
2,2,3,3,2,2,2,2,2,2,0,gptchats_23733,2.0,80303209
2,2,3,3,3,3,2,2,2,2,0,gptchats_65766,2.1818181818181817,40354394
2,0,3,3,2,2,2,2,2,2,0,gptchats_71713,1.818181818181818,80336424
4,3,4,4,4,4,4,4,4,4,0,coaching_22282,3.5454545454545454,9971141
0,0,2,2,0,0,0,0,0,0,0,gptchats_17496,0.3636363636363636,80232158
0,1,2,2,1,2,1,1,1,0,0,gptchats_27555,1.0,80327611
2,2,3,3,2,2,2,2,2,2,0,gptchats_28666,2.0,80331013
2,2,3,3,2,2,2,2,2,2,0,coaching_11032,2.0,80337606
0,0,3,3,2,2,2,2,0,0,0,gptchats_29578,1.2727272727272727,80333154
2,2,4,4,3,3,2,2,2,2,0,gptchats_31337,2.363636363636364,80334542
2,2,3,3,2,2,2,2,2,2,2,gptchats_5016,2.1818181818181817,80232642
2,2,4,4,3,3,3,3,2,2,0,gptchats_36458,2.5454545454545454,80336311
2,2,3,3,2,2,2,2,2,2,0,gptchats_30997,2.0,80334324
2,2,4,4,3,3,2,2,2,2,2,gptchats_60178,2.5454545454545454,80346498
2,2,3,3,3,3,2,2,2,2,0,gptchats_11781,2.1818181818181817,80241785
2,2,3,3,3,3,3,3,3,3,2,coaching_4157,2.727272727272727,80307105
2,0,3,3,2,2,0,1,0,0,0,gptchats_31451,1.181818181818182,80334839
2,2,3,3,2,3,2,2,2,2,0,gptchats_11959,2.090909090909091,80234237
2,2,3,3,2,2,2,2,2,2,0,gptchats_65000,2.0,80325979
0,0,2,2,0,0,0,0,0,0,0,gptchats_8254,0.3636363636363636,80236990
2,2,3,3,2,2,2,2,2,2,0,gptchats_13196,2.0,80244307
2,2,3,3,3,2,2,2,2,2,0,gptchats_6279,2.090909090909091,80234758
2,0,2,2,2,2,2,2,2,2,0,gptchats_25424,1.6363636363636365,80319055
2,2,4,4,3,3,2,2,2,2,0,gptchats_73662,2.363636363636364,40355573
2,2,4,4,3,3,2,2,2,2,0,gptchats_35637,2.363636363636364,80332826
2,2,3,3,3,3,2,2,2,2,2,gptchats_65014,2.363636363636364,80336533
2,2,3,3,2,2,2,2,2,2,0,gptchats_72568,2.0,80261928
2,0,2,2,2,2,0,0,0,0,0,gptchats_75207,0.9090909090909092,99369719
2,2,3,3,2,2,2,2,2,2,0,gptchats_8240,2.0,80234067
2,2,3,3,2,2,2,2,2,2,0,gptchats_73676,2.0,7035005
2,2,3,3,3,3,2,2,2,2,2,gptchats_68530,2.363636363636364,6082375
2,2,3,3,3,2,2,2,2,2,0,gptchats_21656,2.090909090909091,80287933
2,2,3,3,2,2,2,2,2,2,0,gptchats_11795,2.0,80240536
2,2,3,3,2,2,2,2,2,2,0,gptchats_31445,2.0,80334831
2,2,3,3,2,2,2,2,2,2,0,gptchats_3315,2.0,80229780
2,2,3,3,3,3,2,2,2,2,2,gptchats_71061,2.363636363636364,40361064
2,2,3,3,3,3,3,3,3,3,2,coaching_18764,2.727272727272727,80345159
2,2,3,3,2,2,2,2,2,2,0,gptchats_17482,2.0,80261171
2,2,3,3,2,2,2,2,2,2,0,gptchats_31323,2.0,80330038
2,2,3,3,2,2,2,2,2,2,0,gptchats_15295,2.0,80253889
2,2,4,4,3,3,2,2,2,2,0,gptchats_55869,2.363636363636364,80326421
0,0,1,1,0,1,0,0,0,0,0,gptchats_23727,0.2727272727272727,80307980
0,0,1,1,0,0,0,0,0,0,0,gptchats_53997,0.1818181818181818,80339012
2,2,3,3,2,2,2,2,2,2,0,gptchats_42642,2.0,80338169
2,2,3,3,2,2,2,2,2,2,0,gptchats_1933,2.0,80227000
2,0,2,4,2,2,2,0,0,0,0,gptchats_52451,1.2727272727272727,80340459
2,2,2,2,2,2,2,2,2,2,0,gptchats_72959,1.818181818181818,70108281
2,0,2,2,2,2,0,2,0,0,0,gptchats_60385,1.0909090909090908,80344513
2,2,3,3,3,3,2,2,2,2,2,gptchats_20979,2.363636363636364,80240280
2,0,2,2,2,2,2,2,0,0,0,gptchats_46424,1.2727272727272727,80339018
2,2,3,3,2,2,2,2,2,2,0,gptchats_4693,2.0,80230187
2,0,2,2,2,2,2,2,2,2,0,gptchats_61925,1.6363636363636365,80346691
2,0,4,4,2,2,0,0,0,0,0,gptchats_33905,1.2727272727272727,80316293
0,0,0,0,0,0,0,0,0,0,0,gptchats_41645,0.0,80337833
2,2,3,3,2,2,2,2,2,2,0,gptchats_14362,2.0,80239346
2,2,3,3,2,3,2,2,2,2,0,gptchats_74482,2.090909090909091,40366948
0,1,2,2,0,1,0,0,0,0,0,gptchats_6178,0.5454545454545454,80224771
2,1,2,2,1,2,1,1,1,1,0,gptchats_64691,1.2727272727272727,10348786
2,2,3,3,3,3,2,2,2,2,0,gptchats_8903,2.1818181818181817,80238278
2,0,3,3,2,3,2,2,2,2,0,coaching_21562,1.9090909090909092,30353900
0,0,2,2,0,1,0,0,0,0,0,gptchats_10110,0.4545454545454545,80227812
2,2,3,3,2,2,2,2,2,2,0,gptchats_46356,2.0,80334648
2,2,3,3,2,2,2,2,2,2,0,gptchats_16561,2.0,80256989
2,2,3,3,2,3,2,2,2,2,0,coaching_21318,2.090909090909091,80261959
2,2,4,4,3,3,3,3,2,2,0,gptchats_67398,2.5454545454545454,80342568
0,0,2,2,0,1,0,2,0,0,0,gptchats_3856,0.6363636363636364,80230648
2,2,3,3,2,2,2,2,2,2,0,gptchats_29791,2.0,80333513
2,0,3,3,2,2,2,2,2,2,0,gptchats_66938,1.818181818181818,80234177
2,2,3,3,2,2,2,2,2,2,0,gptchats_70182,2.0,5023346
0,0,2,2,0,1,0,0,0,0,0,gptchats_46430,0.4545454545454545,80336396
2,2,3,3,2,2,2,2,2,2,0,gptchats_68915,2.0,80332561
0,0,2,2,0,0,0,0,0,0,0,gptchats_62586,0.3636363636363636,80225117
2,2,3,3,2,2,2,2,2,2,0,gptchats_21483,2.0,80270352
0,0,1,1,0,0,0,0,0,0,0,gptchats_2450,0.1818181818181818,80228626
0,0,2,2,0,1,0,0,0,0,0,gptchats_10886,0.4545454545454545,80231112
2,2,3,3,3,3,2,2,2,2,0,gptchats_18202,2.1818181818181817,80263704
2,2,4,4,3,3,2,3,2,2,0,gptchats_59538,2.4545454545454546,80225058
2,2,3,3,2,2,2,2,2,2,0,gptchats_8095,2.0,80237028
2,2,3,3,2,3,2,2,2,2,0,gptchats_55302,2.090909090909091,80342151
0,1,2,2,1,2,1,1,1,1,0,gptchats_14438,1.0909090909090908,80226900
2,2,3,3,2,2,2,2,2,2,0,coaching_20132,2.0,80335416
4,4,4,4,4,4,4,4,4,4,0,coaching_20654,3.636363636363636,80346375
0,0,1,1,0,1,0,0,0,0,0,gptchats_33939,0.2727272727272727,80326119
2,2,3,3,2,2,2,2,2,2,0,gptchats_6906,2.0,80234030
2,2,3,3,3,3,2,2,2,2,2,gptchats_68083,2.363636363636364,80229819
0,0,1,1,0,1,0,0,0,0,0,gptchats_68097,0.2727272727272727,7077537
2,2,3,3,3,2,2,2,2,2,0,gptchats_53001,2.090909090909091,80341155
0,0,2,2,2,2,0,0,0,0,0,gptchats_15054,0.7272727272727273,80253219
0,0,1,2,0,1,0,0,0,0,0,gptchats_13343,0.3636363636363636,80240849
4,4,5,5,5,4,4,4,4,4,4,coaching_17952,4.2727272727272725,80335416
0,1,2,2,1,1,1,1,1,0,0,gptchats_965,0.9090909090909092,80225695
2,2,3,3,2,2,2,2,2,2,0,gptchats_58632,2.0,80337949
2,2,3,3,3,3,3,3,3,3,0,coaching_4382,2.5454545454545454,80240280
2,2,3,3,3,3,2,2,2,2,0,gptchats_17125,2.1818181818181817,80259742
4,2,4,4,4,4,4,4,4,4,0,coaching_22731,3.4545454545454546,99357416
4,3,4,4,4,4,3,3,3,3,0,gptchats_18216,3.1818181818181817,80239270
4,4,4,4,4,4,4,4,4,4,4,coaching_18228,4.0,80342033
2,2,3,3,3,3,2,2,2,2,0,gptchats_58801,2.1818181818181817,80344553
2,2,3,3,2,2,2,2,2,2,0,gptchats_61058,2.0,80228855
2,0,3,3,2,2,2,2,2,2,0,gptchats_4650,1.818181818181818,80227992
2,2,3,3,2,2,2,2,2,2,0,gptchats_29020,2.0,80325956
2,2,3,3,2,2,2,2,2,2,0,gptchats_2221,2.0,80228340
2,2,3,3,3,3,3,3,3,3,2,coaching_3406,2.727272727272727,80294772
2,2,3,3,2,2,2,2,2,2,0,gptchats_4888,2.0,80232404
2,2,3,3,2,2,1,1,1,1,0,gptchats_22175,1.6363636363636365,80261567
2,1,2,2,2,2,1,1,1,1,0,coaching_8553,1.3636363636363635,80325799
2,2,3,3,2,2,2,2,2,2,0,gptchats_32366,2.0,80335385
2,2,3,3,3,3,2,2,2,2,2,gptchats_53954,2.363636363636364,80337661
0,1,2,2,1,1,0,1,1,0,0,gptchats_15901,0.8181818181818182,80243718
2,2,3,3,2,2,2,2,2,2,0,gptchats_24504,2.0,80296867
2,2,3,3,2,2,2,2,2,2,0,gptchats_72742,2.0,9957499
0,0,2,2,1,1,0,1,1,1,0,gptchats_34717,0.8181818181818182,80336029
2,2,3,3,2,2,2,2,2,2,2,coaching_16319,2.1818181818181817,80338900
2,2,4,4,3,3,2,3,2,2,0,gptchats_45688,2.4545454545454546,80338999
2,2,3,3,2,3,2,2,2,2,0,gptchats_74455,2.090909090909091,50105701
2,2,3,3,2,2,2,2,2,2,0,gptchats_2547,2.0,80228781
2,2,3,3,2,2,2,2,2,2,0,gptchats_19685,2.0,80228059
2,2,2,2,2,2,2,2,2,2,0,gptchats_3881,1.818181818181818,80230689
2,0,2,2,2,2,2,2,0,0,0,gptchats_5228,1.2727272727272727,80227763
2,2,3,3,2,3,2,2,2,2,0,gptchats_29746,2.090909090909091,80333458
2,2,3,3,2,2,2,2,2,2,0,gptchats_46381,2.0,80339202
2,2,3,3,2,2,2,2,2,2,0,gptchats_68068,2.0,7081285
2,2,3,3,2,2,2,2,2,2,0,gptchats_19691,2.0,80278529
2,2,3,3,2,2,2,2,2,2,0,gptchats_2553,2.0,80228792
2,2,3,3,2,2,2,2,2,2,0,gptchats_70627,2.0,80341638
2,2,3,3,2,2,2,2,2,2,2,gptchats_60434,2.1818181818181817,80346350
2,2,3,3,2,2,2,2,2,2,0,gptchats_17864,2.0,80261760
2,2,3,3,2,2,2,2,2,2,0,gptchats_19849,2.0,80238971
2,2,3,3,2,2,2,2,2,2,2,gptchats_4122,2.1818181818181817,80231233
2,2,3,3,3,3,2,2,2,2,2,gptchats_71539,2.363636363636364,5043017
2,0,2,3,2,2,2,2,2,2,0,gptchats_69376,1.7272727272727273,99362937
2,2,3,3,2,2,2,2,2,2,0,gptchats_23519,2.0,80306457
2,2,4,4,3,3,2,2,2,2,0,gptchats_74441,2.363636363636364,20355615
2,2,3,3,2,2,2,2,2,2,0,gptchats_9406,2.0,80228891
0,0,2,2,0,2,0,0,0,0,0,gptchats_73448,0.5454545454545454,6017744
2,1,2,2,2,2,1,2,2,2,0,gptchats_6053,1.6363636363636365,80234302
2,2,4,4,3,3,3,3,2,2,0,gptchats_74327,2.5454545454545454,40368986
2,2,3,3,2,2,2,2,2,2,2,gptchats_15915,2.1818181818181817,80236391
2,2,3,3,3,3,2,2,2,2,0,gptchats_72756,2.1818181818181817,5091423
2,0,3,3,2,2,2,2,2,2,0,gptchats_20776,1.818181818181818,80239863
2,2,3,3,2,2,2,2,2,2,0,gptchats_26307,2.0,80323387
0,0,0,0,0,0,0,0,0,0,0,gptchats_23017,0.0,80225773
2,2,3,3,2,2,2,2,2,2,0,gptchats_56838,2.0,99319143
2,2,3,3,3,3,2,2,2,2,0,gptchats_21468,2.1818181818181817,80288509
4,4,5,4,4,5,4,4,4,4,3,coaching_16211,4.090909090909091,80340814
2,2,3,3,2,2,2,2,2,2,0,gptchats_9348,2.0,80239026
2,2,3,3,2,2,2,2,2,2,0,gptchats_8056,2.0,80236986
2,2,3,3,2,3,2,2,2,2,0,gptchats_7365,2.090909090909091,80236239
2,2,3,3,2,3,2,2,2,2,0,gptchats_75011,2.090909090909091,70114745
2,0,2,2,2,2,0,0,0,0,0,gptchats_65202,0.9090909090909092,10347732
2,2,3,3,2,2,2,2,2,2,0,coaching_2724,2.0,80240280
2,0,3,3,2,3,2,2,2,2,0,gptchats_61064,1.9090909090909092,80346711
0,0,2,2,0,0,0,2,0,0,0,gptchats_20986,0.5454545454545454,99244973
2,2,3,3,2,2,2,2,2,2,0,gptchats_31653,2.0,80334741
2,2,3,3,2,2,2,2,2,2,2,gptchats_67373,2.1818181818181817,99356996
2,0,3,3,2,2,0,2,0,0,0,gptchats_68040,1.2727272727272727,80333927
2,2,3,3,2,2,3,2,2,2,0,coaching_17899,2.090909090909091,80341194
0,0,1,1,0,0,0,0,0,0,0,gptchats_12934,0.1818181818181818,80228626
2,2,3,3,2,2,2,2,2,2,0,gptchats_23531,2.0,80306481
2,2,3,3,2,2,2,2,2,2,0,gptchats_7403,2.0,80236272
2,2,4,4,3,3,2,2,2,2,0,gptchats_15083,2.363636363636364,80253287
2,2,3,3,2,2,2,2,2,2,0,gptchats_14389,2.0,80228891
2,2,3,3,2,2,2,2,2,2,0,gptchats_21332,2.0,80260710
0,0,2,2,0,0,0,0,0,0,0,gptchats_5200,0.3636363636363636,80228070
0,0,2,2,0,0,0,0,0,0,0,gptchats_28470,0.3636363636363636,80295919
2,2,3,3,3,3,3,3,3,3,2,gptchats_61716,2.727272727272727,80253702
0,0,1,1,0,0,0,0,0,0,0,gptchats_3671,0.1818181818181818,80230342
2,2,3,3,2,2,2,2,2,2,0,coaching_18200,2.0,80312578
2,2,3,3,2,2,2,2,2,2,0,gptchats_3117,2.0,80229491
2,2,3,3,2,2,2,2,2,2,0,gptchats_28316,2.0,80329848
0,0,2,2,0,0,0,0,0,0,0,gptchats_27025,0.3636363636363636,80325799
2,2,3,3,2,2,2,2,2,2,0,gptchats_11597,2.0,80241648
2,2,3,3,2,3,2,2,2,2,0,gptchats_21454,2.090909090909091,80228660
1,1,2,2,1,1,1,1,1,1,0,gptchats_67401,1.0909090909090908,40355818
2,2,3,3,2,3,2,2,2,2,0,gptchats_68732,2.090909090909091,99361320
2,2,3,3,2,2,2,2,2,2,0,gptchats_10851,2.0,80240890
0,0,2,2,0,0,0,0,0,0,0,gptchats_73474,0.3636363636363636,40356895
2,2,3,2,2,2,2,2,2,2,2,gptchats_1700,2.090909090909091,80226878
2,0,2,2,2,2,0,0,0,0,0,gptchats_13380,0.9090909090909092,80230437
2,2,3,3,3,2,2,2,2,2,2,gptchats_15929,2.272727272727273,80255692
0,0,2,2,0,0,0,0,0,0,0,gptchats_7371,0.3636363636363636,80236243
0,0,1,1,0,0,0,0,0,0,0,gptchats_58499,0.1818181818181818,80325799
2,2,3,3,2,3,2,2,2,2,0,coaching_8746,2.090909090909091,80332249
2,2,3,3,3,3,2,2,2,2,2,gptchats_74284,2.363636363636364,30361085
4,4,5,4,4,4,4,4,4,4,0,coaching_9922,3.727272727272727,80229050
0,0,2,2,0,1,0,0,0,0,0,gptchats_44347,0.4545454545454545,80338846
0,0,2,2,0,2,0,0,0,0,0,gptchats_1847,0.5454545454545454,80227683
2,0,3,3,2,3,2,2,2,2,0,gptchats_28289,1.9090909090909092,80329726
2,2,3,3,2,2,2,2,2,2,0,gptchats_17079,2.0,80259494
2,2,3,3,2,2,2,2,2,2,0,gptchats_11408,2.0,80236899
0,0,0,0,0,0,0,0,0,0,0,gptchats_29197,0.0,80322488
2,0,2,2,2,2,0,0,0,0,0,gptchats_70784,0.9090909090909092,80361229
0,1,2,2,2,2,1,2,2,1,0,gptchats_10070,1.3636363636363635,80239984
2,2,3,3,2,2,2,2,2,2,0,gptchats_36909,2.0,80336007
0,0,1,1,0,0,0,0,0,0,0,gptchats_62380,0.1818181818181818,80346696
0,0,1,2,0,0,0,0,0,0,0,gptchats_72193,0.2727272727272727,20366662
2,2,3,3,2,2,2,2,2,2,0,gptchats_15108,2.0,80241212
2,2,3,3,2,2,2,2,2,2,0,gptchats_6696,2.0,80230923
2,2,4,4,3,3,3,3,3,3,0,gptchats_12667,2.727272727272727,80239298
3,3,4,4,3,3,3,3,3,3,3,gptchats_54632,3.1818181818181817,80340169
2,2,3,3,2,2,2,2,2,2,0,gptchats_22968,2.0,80302619
2,2,3,3,2,2,2,2,2,2,0,gptchats_7312,2.0,80236185
0,0,1,1,0,0,0,0,0,0,0,gptchats_67084,0.1818181818181818,99359031
4,2,4,4,4,4,4,4,4,4,4,coaching_21416,3.8181818181818183,5003299
2,2,3,3,2,2,2,2,2,2,0,gptchats_60583,2.0,80346711
0,0,1,1,0,1,0,0,0,0,0,gptchats_40653,0.2727272727272727,80337449
2,2,3,3,3,2,2,2,2,2,0,gptchats_27810,2.090909090909091,80316154
2,2,3,3,2,2,2,2,2,2,0,gptchats_56031,2.0,80335761
